trial_number,cost_value,objective_class_0_recall,accuracy,balanced_accuracy,f1_score,kappa,auc,loss,recall_class0,expected_cost,prevalence_class0,class_0_accuracy,class_0_precision,class_0_recall,class_0_f1_score,class_0_false_positive_rate,class_0_false_negative_rate,class_0_support,class_1_accuracy,class_1_precision,class_1_recall,class_1_f1_score,class_1_false_positive_rate,class_1_false_negative_rate,class_1_support,cm_0_0,cm_0_1,cm_1_0,cm_1_1
16,1.0,0.9,0.8966666666666666,0.8966666666666667,0.8966655185057611,0.7933333333333333,0.9579111111111112,0.6028624176979065,0.9,0.10333333333333333,0.5,0.9,0.8940397350993378,0.9,0.8970099667774086,0.10666666666666667,0.1,150,0.8933333333333333,0.8993288590604027,0.8933333333333333,0.8963210702341138,0.1,0.10666666666666667,150,135,15,16,134
1,2.0,0.8533333333333334,0.8733333333333333,0.8733333333333333,0.8732826463918901,0.7466666666666666,0.9449777777777779,0.7119783163070679,0.8533333333333334,0.18,0.5,0.8533333333333334,0.8888888888888888,0.8533333333333334,0.8707482993197277,0.10666666666666667,0.14666666666666667,150,0.8933333333333333,0.8589743589743589,0.8933333333333333,0.8758169934640523,0.14666666666666667,0.10666666666666667,150,128,22,16,134
8,3.0,0.8133333333333334,0.8466666666666667,0.8466666666666667,0.846496106785317,0.6933333333333334,0.9356,0.6183489561080933,0.8133333333333334,0.2733333333333333,0.5,0.8133333333333334,0.8714285714285714,0.8133333333333334,0.8413793103448276,0.12,0.18666666666666668,150,0.88,0.825,0.88,0.8516129032258064,0.18666666666666668,0.12,150,122,28,18,132
15,4.0,0.8,0.8433333333333334,0.8433333333333334,0.8430385946944818,0.6866666666666666,0.9355555555555556,0.6163654327392578,0.8,0.32666666666666666,0.5,0.8,0.8759124087591241,0.8,0.8362369337979094,0.11333333333333333,0.2,150,0.8866666666666667,0.8159509202453987,0.8866666666666667,0.8498402555910542,0.2,0.11333333333333333,150,120,30,17,133
7,5.0,0.7733333333333333,0.8366666666666667,0.8366666666666667,0.8360088800633653,0.6733333333333333,0.9369333333333334,0.6244325041770935,0.7733333333333333,0.36333333333333334,0.5,0.7733333333333333,0.8854961832061069,0.7733333333333333,0.8256227758007118,0.1,0.22666666666666666,150,0.9,0.7988165680473372,0.9,0.8463949843260188,0.22666666666666666,0.1,150,116,34,15,135
9,6.0,0.8466666666666667,0.8666666666666667,0.8666666666666667,0.8666133119914632,0.7333333333333334,0.9565333333333332,1.0420607328414917,0.8466666666666667,0.4166666666666667,0.5,0.8466666666666667,0.8819444444444444,0.8466666666666667,0.8639455782312925,0.11333333333333333,0.15333333333333332,150,0.8866666666666667,0.8525641025641025,0.8866666666666667,0.8692810457516339,0.15333333333333332,0.11333333333333333,150,127,23,17,133
6,7.0,0.86,0.88,0.88,0.8799519807923168,0.76,0.9552,1.0442335605621338,0.86,0.42,0.5,0.86,0.8958333333333334,0.86,0.8775510204081632,0.1,0.14,150,0.9,0.8653846153846154,0.9,0.8823529411764707,0.14,0.1,150,129,21,15,135
12,8.0,0.8466666666666667,0.88,0.88,0.8798665183537264,0.76,0.96,0.9791607856750488,0.8466666666666667,0.42333333333333334,0.5,0.8466666666666667,0.9071428571428571,0.8466666666666667,0.8758620689655173,0.08666666666666667,0.15333333333333332,150,0.9133333333333333,0.85625,0.9133333333333333,0.8838709677419355,0.15333333333333332,0.08666666666666667,150,127,23,13,137
2,9.0,0.8466666666666667,0.88,0.88,0.8798665183537264,0.76,0.9569777777777777,1.0468217134475708,0.8466666666666667,0.4666666666666667,0.5,0.8466666666666667,0.9071428571428571,0.8466666666666667,0.8758620689655173,0.08666666666666667,0.15333333333333332,150,0.9133333333333333,0.85625,0.9133333333333333,0.8838709677419355,0.15333333333333332,0.08666666666666667,150,127,23,13,137
11,10.0,0.86,0.8833333333333333,0.8833333333333333,0.8832697802136719,0.7666666666666666,0.9571555555555555,1.0130102634429932,0.86,0.5366666666666666,0.5,0.86,0.9020979020979021,0.86,0.8805460750853243,0.09333333333333334,0.14,150,0.9066666666666666,0.8662420382165605,0.9066666666666666,0.8859934853420196,0.14,0.09333333333333334,150,129,21,14,136
