dataset,model_family,model_checkpoint,method,decision_mode,class_order,target_class,cost_matrix_C_true_pred,cost_matrix_meaning,target_recall_floor,accuracy_floor,accuracy_floor_metric,normalized_atc,atc,target_recall,target_fnr,target_precision,target_fpr,accuracy,balanced_accuracy,macro_f1,selection_score,auroc,auprc,nll,brier,ece,temperature,calibration_nll_before,calibration_nll_after,confusion_matrix_rows_true_cols_pred,run,metrics_file,config_file,phase,nicme_logit_cost_scale,cs_lambda,class_names,floor_accuracy_value,target_recall_floor_met,accuracy_floor_met,all_floors_met,confusion_matrix,elapsed_seconds,best_val_selection_score,best_val_normalized_atc,best_val_target_recall,best_val_target_fnr,best_val_accuracy,best_val_balanced_accuracy,best_val_epoch,last_val_selection_score,last_val_normalized_atc,last_val_target_recall,last_val_accuracy,tag,threshold,calibration_selection_score,calibration_target_recall,calibration_accuracy,calibration_normalized_atc
spider_balanced_prototype,convnext,facebook/convnext-tiny-224,ce,argmax,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.178125,1.78125,0.65625,0.34375,0.84,0.125,0.765625,0.765625,0.7627872498146775,0.524462890625,0.87109375,0.8851347237138796,0.5868383118252631,0.3967136578489239,0.1712544290348886,,,,"[[21, 11], [4, 28]]",stop2_prototype_spider_balanced_prototype_convnext_ce_04-28_05-23,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_ce_04-28_05-23/metrics_20260428_052331_ce.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_convnext_ce.json,stop2,,,,,,,,,,,,,,,,,,,,,,,,,,
spider_balanced_prototype,convnext,facebook/convnext-tiny-224,ce,calibrated_cost_min,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.87109375,0.8851347237138796,0.5254547462305148,0.3466048952642041,0.1181357512238061,0.5,0.5718879770830372,0.4919374430266504,"[[32, 0], [32, 0]]",stop2_prototype_spider_balanced_prototype_convnext_ce_04-28_05-23,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_ce_04-28_05-23/metrics_20260428_052331_ce.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_convnext_ce.json,stop2,,,,,,,,,,,,,,,,,,,,,,,,,,
spider_balanced_prototype,convnext,facebook/convnext-tiny-224,ce_calibrated_cost_min,argmax,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.178125,1.78125,0.65625,0.34375,0.84,0.125,0.765625,0.765625,0.7627872498146775,0.524462890625,0.87109375,0.8851347237138796,0.5868373617007066,0.3967128629887574,0.1712539196014404,,,,"[[21, 11], [4, 28]]",stop2_prototype_spider_balanced_prototype_convnext_ce_calibrated_cost_min_04-28_05-23,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_ce_calibrated_cost_min_04-28_05-23/metrics_20260428_052357_ce_calibrated_cost_min.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_convnext_ce_calibrated_cost_min.json,stop2,,,,,,,,,,,,,,,,,,,,,,,,,,
spider_balanced_prototype,convnext,facebook/convnext-tiny-224,ce_calibrated_cost_min,calibrated_cost_min,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.87109375,0.8851347237138796,0.5254538457334281,0.3466045533573079,0.1181337177443253,0.5,0.5718866928137349,0.4919349066371976,"[[32, 0], [32, 0]]",stop2_prototype_spider_balanced_prototype_convnext_ce_calibrated_cost_min_04-28_05-23,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_ce_calibrated_cost_min_04-28_05-23/metrics_20260428_052357_ce_calibrated_cost_min.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_convnext_ce_calibrated_cost_min.json,stop2,,,,,,,,,,,,,,,,,,,,,,,,,,
spider_balanced_prototype,convnext,facebook/convnext-tiny-224,menon_logit_adjusted,argmax,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.178125,1.78125,0.65625,0.34375,0.84,0.125,0.765625,0.765625,0.7627872498146775,0.524462890625,0.87109375,0.8851347237138796,0.5868383846036009,0.3967137842156287,0.1712534241378307,,,,"[[21, 11], [4, 28]]",stop2_prototype_spider_balanced_prototype_convnext_menon_logit_adjusted_04-28_05-24,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_menon_logit_adjusted_04-28_05-24/metrics_20260428_052424_menon_logit_adjusted.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_convnext_menon_logit_adjusted.json,stop2,,,,,,,,,,,,,,,,,,,,,,,,,,
spider_balanced_prototype,convnext,facebook/convnext-tiny-224,menon_logit_adjusted,calibrated_cost_min,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.87109375,0.8851347237138796,0.525455796936354,0.3466062205460415,0.1181330668910496,0.5,0.5718875432764146,0.4919372651878104,"[[32, 0], [32, 0]]",stop2_prototype_spider_balanced_prototype_convnext_menon_logit_adjusted_04-28_05-24,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_menon_logit_adjusted_04-28_05-24/metrics_20260428_052424_menon_logit_adjusted.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_convnext_menon_logit_adjusted.json,stop2,,,,,,,,,,,,,,,,,,,,,,,,,,
spider_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_hybrid,argmax,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.5947265625,0.5445562405047908,0.7612775798910314,0.5639962585040059,0.2371517019346357,,,,"[[32, 0], [32, 0]]",stop2_prototype_spider_balanced_prototype_convnext_nicme_hybrid_04-28_05-24,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_nicme_hybrid_04-28_05-24/metrics_20260428_052448_nicme_hybrid.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_convnext_nicme_hybrid.json,stop2,,,,,,,,,,,,,,,,,,,,,,,,,,
spider_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_hybrid,calibrated_cost_min,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.5947265625,0.5445562405047908,0.6934587286530433,0.5003154816592268,0.099148064287513,7.25,0.7457202100169698,0.6917313753909508,"[[32, 0], [32, 0]]",stop2_prototype_spider_balanced_prototype_convnext_nicme_hybrid_04-28_05-24,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_nicme_hybrid_04-28_05-24/metrics_20260428_052448_nicme_hybrid.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_convnext_nicme_hybrid.json,stop2,,,,,,,,,,,,,,,,,,,,,,,,,,
spider_balanced_prototype,vit,google/vit-base-patch16-224-in21k,ce,argmax,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.1453125,1.453125,0.71875,0.28125,0.8846153846153846,0.09375,0.8125,0.8125,0.8108374384236454,0.3592187499999999,0.93359375,0.9454987658996704,0.5639454868169527,0.3738119269560955,0.2341337092220783,,,,"[[23, 9], [3, 29]]",stop2_prototype_spider_balanced_prototype_vit_ce_04-28_05-25,results/vit_test/stop2_prototype_spider_balanced_prototype_vit_ce_04-28_05-25/metrics_20260428_052513_ce.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_vit_ce.json,stop2,,,,,,,,,,,,,,,,,,,,,,,,,,
spider_balanced_prototype,vit,google/vit-base-patch16-224-in21k,ce,calibrated_cost_min,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.93359375,0.9454987658996704,0.4746154377354853,0.2976431743379247,0.1879817058891793,0.5,0.5754262179189514,0.4967798951132264,"[[32, 0], [32, 0]]",stop2_prototype_spider_balanced_prototype_vit_ce_04-28_05-25,results/vit_test/stop2_prototype_spider_balanced_prototype_vit_ce_04-28_05-25/metrics_20260428_052513_ce.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_vit_ce.json,stop2,,,,,,,,,,,,,,,,,,,,,,,,,,
